Product URL,Product Name,Product Price,Rating,Number of reviews
https://www.amazon.in/Messenger-Water-resistant-Briefcase-Multiple-Men-Black/dp/B0B6G58BYC/ref=sr_1_261?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-261,"Arctic Hunter Laptop Bag,Messenger bags for Men and Women Laptop Sling Bag with Handle Water-resistant Laptop Briefcase for 15.6 inch Laptop Multiple Pockets Travel Office For Men.Black","₹ 2,849",4.5 out of 5 stars,33 ratings
https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGGGNC/ref=sr_1_260?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-260,"Genie Miami Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",₹ 695.50,4.2 out of 5 stars,"3,909 ratings"
https://www.amazon.in/Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGXXR5/ref=sr_1_259?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-259,"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",₹ 989,4.2 out of 5 stars,78 ratings
https://www.amazon.in/Amazon-Brand-Womens-Sling-Light/dp/B07YXBTD6Z/ref=sr_1_260?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-260,Amazon Brand - Eden & Ivy Women's Sling Bag,₹ 564.63,4.3 out of 5 stars,608 ratings
https://www.amazon.in/AirCase-C25-Messenger-Shoulder-Compartments/dp/B07P42BHHT/ref=sr_1_259?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-259,"AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women",₹ 949,3.9 out of 5 stars,656 ratings
https://www.amazon.in/DIVING-DEEP-Backpack-Polyester-Bag/dp/B08F7YYZTJ/ref=sr_1_258?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-258,DIVING DEEP Women Backpack Latest School Bag for Girls (Black),₹ 379,3.3 out of 5 stars,"1,393 ratings"
https://www.amazon.in/Wildcraft-Ltrs-orange-Rucksack-8903338073864/dp/B01G5I8YLC/ref=sr_1_257?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-257,"Wildcraft 45 Ltrs Grey and Orange Rucksack (8903338073864), Large","₹ 1,725",4.3 out of 5 stars,"8,680 ratings"
https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGGGNC/ref=sr_1_256?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-256,"Genie Miami Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",₹ 695.50,4.2 out of 5 stars,"3,909 ratings"
https://www.amazon.in/NETTIE-Cotton-Carry-Strap-Drawstring/dp/B08LBT1R9J/ref=sr_1_255?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-255,NETTIE Cotton Carry Bag with Strap and Drawstring for Yoga Mat- Big Size,₹ 198,4.1 out of 5 stars,977 ratings
https://www.amazon.in/Alice-Bowknot-Fashion-Backpack-Daypacks/dp/B09HX3DL8R/ref=sr_1_254?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-254,Alice Girls New ty Bowknot Fashion Backpack Cute Leather Backpack Mini Backpack Purse for Women Satchel School Bags Casual Travel Daypacks,₹ 479,3.8 out of 5 stars,83 ratings
https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D21FV/ref=sr_1_253?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-253,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag,"₹ 1,181",4.2 out of 5 stars,"1,347 ratings"
